2018-01-09T16:14:14.427+0100 I CONTROL  [main] Trying to start Windows service 'MongoDB'
2018-01-09T16:14:14.435+0100 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=3541M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
2018-01-09T16:14:14.904+0100 I STORAGE  [initandlisten] WiredTiger message [1515510854:903381][9716:140710962946384], txn-recover: Main recovery loop: starting at 13/32000
2018-01-09T16:14:15.177+0100 I STORAGE  [initandlisten] WiredTiger message [1515510855:177573][9716:140710962946384], txn-recover: Recovering log 13 through 14
2018-01-09T16:14:15.504+0100 I STORAGE  [initandlisten] WiredTiger message [1515510855:503804][9716:140710962946384], txn-recover: Recovering log 14 through 14
2018-01-09T16:14:16.414+0100 I CONTROL  [initandlisten] 
2018-01-09T16:14:16.414+0100 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
2018-01-09T16:14:16.414+0100 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
2018-01-09T16:14:16.414+0100 I CONTROL  [initandlisten] 
2018-01-09T16:14:16.414+0100 I CONTROL  [initandlisten] 
2018-01-09T16:14:16.414+0100 I CONTROL  [initandlisten] ** WARNING: The file system cache of this machine is configured to be greater than 40% of the total memory. This can lead to increased memory pressure and poor performance.
2018-01-09T16:14:16.414+0100 I CONTROL  [initandlisten] See http://dochub.mongodb.org/core/wt-windows-system-file-cache
2018-01-09T16:14:16.414+0100 I CONTROL  [initandlisten] 
2018-01-09T16:14:17.818+0100 W FTDC     [initandlisten] Failed to initialize Performance Counters for FTDC: WindowsPdhError: PdhExpandCounterPathW failed with 'El objeto especificado no se encontrÃ³ en el equipo.' for counter '\Memory\Available Bytes'
2018-01-09T16:14:17.818+0100 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory 'C:/Users/laura/Desktop/UniversidadUAH/ComputaciÃ³n ubicua/Pec2/medical_profiler/db/data/diagnostic.data'
2018-01-09T16:14:17.821+0100 I NETWORK  [initandlisten] waiting for connections on port 27017
2018-01-09T16:14:17.821+0100 I STORAGE  [initandlisten] Service running
2018-01-09T16:14:36.530+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54110 #1 (1 connection now open)
2018-01-09T16:14:36.539+0100 I NETWORK  [conn1] received client metadata from 127.0.0.1:54110 conn: { driver: { name: "nodejs", version: "2.2.33" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "10.0.16299" }, platform: "Node.js v8.9.3, LE, mongodb-core: 2.1.17" }
2018-01-09T16:14:36.565+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54111 #2 (2 connections now open)
2018-01-09T16:14:36.657+0100 I INDEX    [conn1] build index on: medical_reports.patients properties: { v: 2, unique: true, key: { code_rfid: 1 }, name: "code_rfid_1", ns: "medical_reports.patients", background: true }
2018-01-09T16:14:36.724+0100 I COMMAND  [conn1] command medical_reports.$cmd command: createIndexes { createIndexes: "patients", indexes: [ { name: "code_rfid_1", key: { code_rfid: 1 }, unique: true, background: true } ], $db: "medical_reports" } exception: E11000 duplicate key error collection: medical_reports.patients index: code_rfid_1 dup key: { : null } code:DuplicateKey numYields:0 reslen:189 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1, W: 2 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 158ms
2018-01-09T16:15:54.370+0100 I NETWORK  [conn1] end connection 127.0.0.1:54110 (1 connection now open)
2018-01-09T16:15:54.371+0100 I NETWORK  [conn2] end connection 127.0.0.1:54111 (0 connections now open)
2018-01-09T16:21:03.665+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54130 #3 (1 connection now open)
2018-01-09T16:21:03.679+0100 I NETWORK  [conn3] received client metadata from 127.0.0.1:54130 conn: { driver: { name: "nodejs", version: "2.2.33" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "10.0.16299" }, platform: "Node.js v8.9.3, LE, mongodb-core: 2.1.17" }
2018-01-09T16:21:03.706+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54131 #4 (2 connections now open)
2018-01-09T16:21:03.771+0100 I INDEX    [conn3] build index on: medical_reports.patients properties: { v: 2, unique: true, key: { code_rfid: 1 }, name: "code_rfid_1", ns: "medical_reports.patients", background: true }
2018-01-09T16:21:03.809+0100 I COMMAND  [conn3] command medical_reports.$cmd command: createIndexes { createIndexes: "patients", indexes: [ { name: "code_rfid_1", key: { code_rfid: 1 }, unique: true, background: true } ], $db: "medical_reports" } exception: E11000 duplicate key error collection: medical_reports.patients index: code_rfid_1 dup key: { : null } code:DuplicateKey numYields:0 reslen:189 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1, W: 2 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 102ms
2018-01-09T16:23:34.162+0100 I NETWORK  [conn3] end connection 127.0.0.1:54130 (1 connection now open)
2018-01-09T16:23:34.162+0100 I NETWORK  [conn4] end connection 127.0.0.1:54131 (0 connections now open)
2018-01-09T16:23:35.598+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54140 #5 (1 connection now open)
2018-01-09T16:23:35.609+0100 I NETWORK  [conn5] received client metadata from 127.0.0.1:54140 conn: { driver: { name: "nodejs", version: "2.2.33" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "10.0.16299" }, platform: "Node.js v8.9.3, LE, mongodb-core: 2.1.17" }
2018-01-09T16:23:35.638+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54141 #6 (2 connections now open)
2018-01-09T16:23:35.820+0100 I INDEX    [conn5] build index on: medical_reports.patients properties: { v: 2, unique: true, key: { code_rfid: 1 }, name: "code_rfid_1", ns: "medical_reports.patients", background: true }
2018-01-09T16:23:35.820+0100 I COMMAND  [conn6] command medical_reports.doctors command: listIndexes { listIndexes: "doctors", cursor: {}, $db: "medical_reports" } numYields:0 reslen:317 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 }, acquireWaitCount: { r: 1 }, timeAcquiringMicros: { r: 174872 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_query 175ms
2018-01-09T16:23:35.857+0100 I COMMAND  [conn5] command medical_reports.$cmd command: createIndexes { createIndexes: "patients", indexes: [ { name: "code_rfid_1", key: { code_rfid: 1 }, unique: true, background: true } ], $db: "medical_reports" } exception: E11000 duplicate key error collection: medical_reports.patients index: code_rfid_1 dup key: { : null } code:DuplicateKey numYields:0 reslen:189 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1, W: 2 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 217ms
2018-01-09T16:23:49.507+0100 I NETWORK  [conn6] end connection 127.0.0.1:54141 (0 connections now open)
2018-01-09T16:23:49.507+0100 I NETWORK  [conn5] end connection 127.0.0.1:54140 (1 connection now open)
2018-01-09T16:26:17.405+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54143 #7 (1 connection now open)
2018-01-09T16:26:17.420+0100 I NETWORK  [conn7] received client metadata from 127.0.0.1:54143 conn: { driver: { name: "nodejs", version: "2.2.33" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "10.0.16299" }, platform: "Node.js v8.9.3, LE, mongodb-core: 2.1.17" }
2018-01-09T16:26:17.453+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54144 #8 (2 connections now open)
2018-01-09T16:26:17.609+0100 I INDEX    [conn7] build index on: medical_reports.patients properties: { v: 2, unique: true, key: { code_rfid: 1 }, name: "code_rfid_1", ns: "medical_reports.patients", background: true }
2018-01-09T16:26:17.646+0100 I COMMAND  [conn7] command medical_reports.$cmd command: createIndexes { createIndexes: "patients", indexes: [ { name: "code_rfid_1", key: { code_rfid: 1 }, unique: true, background: true } ], $db: "medical_reports" } exception: E11000 duplicate key error collection: medical_reports.patients index: code_rfid_1 dup key: { : null } code:DuplicateKey numYields:0 reslen:189 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1, W: 2 }, acquireWaitCount: { W: 1 }, timeAcquiringMicros: { W: 169 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 191ms
2018-01-09T16:26:19.944+0100 I NETWORK  [conn8] end connection 127.0.0.1:54144 (1 connection now open)
2018-01-09T16:26:19.944+0100 I NETWORK  [conn7] end connection 127.0.0.1:54143 (0 connections now open)
2018-01-09T16:26:21.241+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54145 #9 (1 connection now open)
2018-01-09T16:26:21.250+0100 I NETWORK  [conn9] received client metadata from 127.0.0.1:54145 conn: { driver: { name: "nodejs", version: "2.2.33" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "10.0.16299" }, platform: "Node.js v8.9.3, LE, mongodb-core: 2.1.17" }
2018-01-09T16:26:21.274+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54146 #10 (2 connections now open)
2018-01-09T16:26:21.492+0100 I INDEX    [conn9] build index on: medical_reports.patients properties: { v: 2, unique: true, key: { code_rfid: 1 }, name: "code_rfid_1", ns: "medical_reports.patients", background: true }
2018-01-09T16:26:21.528+0100 I COMMAND  [conn9] command medical_reports.$cmd command: createIndexes { createIndexes: "patients", indexes: [ { name: "code_rfid_1", key: { code_rfid: 1 }, unique: true, background: true } ], $db: "medical_reports" } exception: E11000 duplicate key error collection: medical_reports.patients index: code_rfid_1 dup key: { : null } code:DuplicateKey numYields:0 reslen:189 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1, W: 2 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 253ms
2018-01-09T16:27:32.987+0100 I NETWORK  [conn10] end connection 127.0.0.1:54146 (0 connections now open)
2018-01-09T16:27:32.987+0100 I NETWORK  [conn9] end connection 127.0.0.1:54145 (1 connection now open)
2018-01-09T16:29:25.363+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54158 #11 (1 connection now open)
2018-01-09T16:29:25.376+0100 I NETWORK  [conn11] received client metadata from 127.0.0.1:54158 conn: { driver: { name: "nodejs", version: "2.2.33" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "10.0.16299" }, platform: "Node.js v8.9.3, LE, mongodb-core: 2.1.17" }
2018-01-09T16:29:25.402+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54159 #12 (2 connections now open)
2018-01-09T16:29:25.525+0100 I INDEX    [conn11] build index on: medical_reports.patients properties: { v: 2, unique: true, key: { code_rfid: 1 }, name: "code_rfid_1", ns: "medical_reports.patients", background: true }
2018-01-09T16:29:25.603+0100 I COMMAND  [conn11] command medical_reports.$cmd command: createIndexes { createIndexes: "patients", indexes: [ { name: "code_rfid_1", key: { code_rfid: 1 }, unique: true, background: true } ], $db: "medical_reports" } exception: E11000 duplicate key error collection: medical_reports.patients index: code_rfid_1 dup key: { : null } code:DuplicateKey numYields:0 reslen:189 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1, W: 2 }, acquireWaitCount: { W: 1 }, timeAcquiringMicros: { W: 3 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 200ms
2018-01-09T16:30:25.546+0100 I NETWORK  [conn11] end connection 127.0.0.1:54158 (1 connection now open)
2018-01-09T16:30:25.546+0100 I NETWORK  [conn12] end connection 127.0.0.1:54159 (0 connections now open)
2018-01-09T16:34:00.306+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54197 #13 (1 connection now open)
2018-01-09T16:34:00.324+0100 I NETWORK  [conn13] received client metadata from 127.0.0.1:54197 conn: { driver: { name: "nodejs", version: "2.2.33" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "10.0.16299" }, platform: "Node.js v8.9.3, LE, mongodb-core: 2.1.17" }
2018-01-09T16:34:00.353+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54198 #14 (2 connections now open)
2018-01-09T16:34:00.576+0100 I INDEX    [conn13] build index on: medical_reports.patients properties: { v: 2, unique: true, key: { code_rfid: 1 }, name: "code_rfid_1", ns: "medical_reports.patients", background: true }
2018-01-09T16:34:00.577+0100 I COMMAND  [conn14] command medical_reports.doctors command: listIndexes { listIndexes: "doctors", cursor: {}, $db: "medical_reports" } numYields:0 reslen:317 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 }, acquireWaitCount: { r: 1 }, timeAcquiringMicros: { r: 217820 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_query 218ms
2018-01-09T16:34:00.613+0100 I COMMAND  [conn13] command medical_reports.$cmd command: createIndexes { createIndexes: "patients", indexes: [ { name: "code_rfid_1", key: { code_rfid: 1 }, unique: true, background: true } ], $db: "medical_reports" } exception: E11000 duplicate key error collection: medical_reports.patients index: code_rfid_1 dup key: { : null } code:DuplicateKey numYields:0 reslen:189 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1, W: 2 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 258ms
2018-01-09T16:42:33.039+0100 I NETWORK  [conn13] end connection 127.0.0.1:54197 (0 connections now open)
2018-01-09T16:42:33.039+0100 I NETWORK  [conn14] end connection 127.0.0.1:54198 (1 connection now open)
2018-01-09T16:42:34.557+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54280 #15 (1 connection now open)
2018-01-09T16:42:34.565+0100 I NETWORK  [conn15] received client metadata from 127.0.0.1:54280 conn: { driver: { name: "nodejs", version: "2.2.33" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "10.0.16299" }, platform: "Node.js v8.9.3, LE, mongodb-core: 2.1.17" }
2018-01-09T16:42:34.585+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54281 #16 (2 connections now open)
2018-01-09T16:42:34.817+0100 I INDEX    [conn15] build index on: medical_reports.patients properties: { v: 2, unique: true, key: { code_rfid: 1 }, name: "code_rfid_1", ns: "medical_reports.patients", background: true }
2018-01-09T16:42:34.817+0100 I COMMAND  [conn16] command medical_reports.doctors command: listIndexes { listIndexes: "doctors", cursor: {}, $db: "medical_reports" } numYields:0 reslen:317 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 }, acquireWaitCount: { r: 1 }, timeAcquiringMicros: { r: 228195 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_query 228ms
2018-01-09T16:42:34.861+0100 I COMMAND  [conn15] command medical_reports.$cmd command: createIndexes { createIndexes: "patients", indexes: [ { name: "code_rfid_1", key: { code_rfid: 1 }, unique: true, background: true } ], $db: "medical_reports" } exception: E11000 duplicate key error collection: medical_reports.patients index: code_rfid_1 dup key: { : null } code:DuplicateKey numYields:0 reslen:189 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1, W: 2 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 275ms
2018-01-09T16:45:25.065+0100 I NETWORK  [conn15] end connection 127.0.0.1:54280 (1 connection now open)
2018-01-09T16:45:25.065+0100 I NETWORK  [conn16] end connection 127.0.0.1:54281 (0 connections now open)
2018-01-09T16:45:26.150+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54290 #17 (1 connection now open)
2018-01-09T16:45:26.157+0100 I NETWORK  [conn17] received client metadata from 127.0.0.1:54290 conn: { driver: { name: "nodejs", version: "2.2.33" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "10.0.16299" }, platform: "Node.js v8.9.3, LE, mongodb-core: 2.1.17" }
2018-01-09T16:45:26.177+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54291 #18 (2 connections now open)
2018-01-09T16:45:26.503+0100 I INDEX    [conn17] build index on: medical_reports.patients properties: { v: 2, unique: true, key: { code_rfid: 1 }, name: "code_rfid_1", ns: "medical_reports.patients", background: true }
2018-01-09T16:45:26.513+0100 I COMMAND  [conn18] command medical_reports.doctors command: listIndexes { listIndexes: "doctors", cursor: {}, $db: "medical_reports" } numYields:0 reslen:317 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 }, acquireWaitCount: { r: 1 }, timeAcquiringMicros: { r: 327043 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_query 327ms
2018-01-09T16:45:26.556+0100 I COMMAND  [conn17] command medical_reports.$cmd command: createIndexes { createIndexes: "patients", indexes: [ { name: "code_rfid_1", key: { code_rfid: 1 }, unique: true, background: true } ], $db: "medical_reports" } exception: E11000 duplicate key error collection: medical_reports.patients index: code_rfid_1 dup key: { : null } code:DuplicateKey numYields:0 reslen:189 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1, W: 2 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 377ms
2018-01-09T16:54:18.473+0100 I NETWORK  [conn17] end connection 127.0.0.1:54290 (1 connection now open)
2018-01-09T16:54:18.473+0100 I NETWORK  [conn18] end connection 127.0.0.1:54291 (0 connections now open)
2018-01-09T16:54:19.554+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54313 #19 (1 connection now open)
2018-01-09T16:54:19.561+0100 I NETWORK  [conn19] received client metadata from 127.0.0.1:54313 conn: { driver: { name: "nodejs", version: "2.2.33" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "10.0.16299" }, platform: "Node.js v8.9.3, LE, mongodb-core: 2.1.17" }
2018-01-09T16:54:19.581+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54314 #20 (2 connections now open)
2018-01-09T16:54:19.748+0100 I INDEX    [conn19] build index on: medical_reports.patients properties: { v: 2, unique: true, key: { code_rfid: 1 }, name: "code_rfid_1", ns: "medical_reports.patients", background: true }
2018-01-09T16:54:19.748+0100 I COMMAND  [conn20] command medical_reports.doctors command: listIndexes { listIndexes: "doctors", cursor: {}, $db: "medical_reports" } numYields:0 reslen:317 locks:{ Global: { acquireCount: { r: 2 } }, Database: { acquireCount: { r: 1 }, acquireWaitCount: { r: 1 }, timeAcquiringMicros: { r: 161170 } }, Collection: { acquireCount: { r: 1 } } } protocol:op_query 161ms
2018-01-09T16:54:19.791+0100 I COMMAND  [conn19] command medical_reports.$cmd command: createIndexes { createIndexes: "patients", indexes: [ { name: "code_rfid_1", key: { code_rfid: 1 }, unique: true, background: true } ], $db: "medical_reports" } exception: E11000 duplicate key error collection: medical_reports.patients index: code_rfid_1 dup key: { : null } code:DuplicateKey numYields:0 reslen:189 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1, W: 2 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 208ms
2018-01-09T16:54:27.831+0100 I NETWORK  [conn20] end connection 127.0.0.1:54314 (1 connection now open)
2018-01-09T16:54:27.831+0100 I NETWORK  [conn19] end connection 127.0.0.1:54313 (0 connections now open)
2018-01-09T16:54:59.050+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54326 #21 (1 connection now open)
2018-01-09T16:54:59.059+0100 I NETWORK  [conn21] received client metadata from 127.0.0.1:54326 conn: { driver: { name: "nodejs", version: "2.2.33" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "10.0.16299" }, platform: "Node.js v8.9.3, LE, mongodb-core: 2.1.17" }
2018-01-09T16:54:59.083+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54327 #22 (2 connections now open)
2018-01-09T16:54:59.175+0100 I INDEX    [conn21] build index on: medical_reports.patients properties: { v: 2, unique: true, key: { code_rfid: 1 }, name: "code_rfid_1", ns: "medical_reports.patients", background: true }
2018-01-09T16:54:59.212+0100 I COMMAND  [conn21] command medical_reports.$cmd command: createIndexes { createIndexes: "patients", indexes: [ { name: "code_rfid_1", key: { code_rfid: 1 }, unique: true, background: true } ], $db: "medical_reports" } exception: E11000 duplicate key error collection: medical_reports.patients index: code_rfid_1 dup key: { : null } code:DuplicateKey numYields:0 reslen:189 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1, W: 2 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 128ms
2018-01-09T16:57:02.274+0100 I NETWORK  [conn21] end connection 127.0.0.1:54326 (1 connection now open)
2018-01-09T16:57:02.275+0100 I NETWORK  [conn22] end connection 127.0.0.1:54327 (0 connections now open)
2018-01-09T16:57:03.288+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54332 #23 (1 connection now open)
2018-01-09T16:57:03.295+0100 I NETWORK  [conn23] received client metadata from 127.0.0.1:54332 conn: { driver: { name: "nodejs", version: "2.2.33" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "10.0.16299" }, platform: "Node.js v8.9.3, LE, mongodb-core: 2.1.17" }
2018-01-09T16:57:03.314+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54333 #24 (2 connections now open)
2018-01-09T16:57:03.442+0100 I INDEX    [conn23] build index on: medical_reports.patients properties: { v: 2, unique: true, key: { code_rfid: 1 }, name: "code_rfid_1", ns: "medical_reports.patients", background: true }
2018-01-09T16:57:03.479+0100 I COMMAND  [conn23] command medical_reports.$cmd command: createIndexes { createIndexes: "patients", indexes: [ { name: "code_rfid_1", key: { code_rfid: 1 }, unique: true, background: true } ], $db: "medical_reports" } exception: E11000 duplicate key error collection: medical_reports.patients index: code_rfid_1 dup key: { : null } code:DuplicateKey numYields:0 reslen:189 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1, W: 2 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 163ms
2018-01-09T16:57:16.278+0100 I NETWORK  [conn24] end connection 127.0.0.1:54333 (1 connection now open)
2018-01-09T16:57:16.278+0100 I NETWORK  [conn23] end connection 127.0.0.1:54332 (0 connections now open)
2018-01-09T16:57:17.366+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54335 #25 (1 connection now open)
2018-01-09T16:57:17.374+0100 I NETWORK  [conn25] received client metadata from 127.0.0.1:54335 conn: { driver: { name: "nodejs", version: "2.2.33" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "10.0.16299" }, platform: "Node.js v8.9.3, LE, mongodb-core: 2.1.17" }
2018-01-09T16:57:17.392+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54336 #26 (2 connections now open)
2018-01-09T16:57:17.479+0100 I INDEX    [conn25] build index on: medical_reports.patients properties: { v: 2, unique: true, key: { code_rfid: 1 }, name: "code_rfid_1", ns: "medical_reports.patients", background: true }
2018-01-09T16:57:17.510+0100 I COMMAND  [conn25] command medical_reports.$cmd command: createIndexes { createIndexes: "patients", indexes: [ { name: "code_rfid_1", key: { code_rfid: 1 }, unique: true, background: true } ], $db: "medical_reports" } exception: E11000 duplicate key error collection: medical_reports.patients index: code_rfid_1 dup key: { : null } code:DuplicateKey numYields:0 reslen:189 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1, W: 2 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 117ms
2018-01-09T16:57:20.210+0100 I NETWORK  [conn26] end connection 127.0.0.1:54336 (1 connection now open)
2018-01-09T16:57:20.210+0100 I NETWORK  [conn25] end connection 127.0.0.1:54335 (0 connections now open)
2018-01-09T16:57:37.206+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54339 #27 (1 connection now open)
2018-01-09T16:57:37.214+0100 I NETWORK  [conn27] received client metadata from 127.0.0.1:54339 conn: { driver: { name: "nodejs", version: "2.2.33" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "10.0.16299" }, platform: "Node.js v8.9.3, LE, mongodb-core: 2.1.17" }
2018-01-09T16:57:37.236+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54340 #28 (2 connections now open)
2018-01-09T16:57:37.481+0100 I INDEX    [conn27] build index on: medical_reports.patients properties: { v: 2, unique: true, key: { code_rfid: 1 }, name: "code_rfid_1", ns: "medical_reports.patients", background: true }
2018-01-09T16:57:37.513+0100 I COMMAND  [conn27] command medical_reports.$cmd command: createIndexes { createIndexes: "patients", indexes: [ { name: "code_rfid_1", key: { code_rfid: 1 }, unique: true, background: true } ], $db: "medical_reports" } exception: E11000 duplicate key error collection: medical_reports.patients index: code_rfid_1 dup key: { : null } code:DuplicateKey numYields:0 reslen:189 locks:{ Global: { acquireCount: { r: 1, w: 1 } }, Database: { acquireCount: { w: 1, W: 2 }, acquireWaitCount: { W: 1 }, timeAcquiringMicros: { W: 7 } }, Collection: { acquireCount: { w: 1 } } } protocol:op_query 276ms
2018-01-09T16:57:40.855+0100 I NETWORK  [conn27] end connection 127.0.0.1:54339 (0 connections now open)
2018-01-09T16:57:40.855+0100 I NETWORK  [conn28] end connection 127.0.0.1:54340 (1 connection now open)
2018-01-09T17:00:02.585+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54346 #29 (1 connection now open)
2018-01-09T17:00:02.592+0100 I NETWORK  [conn29] received client metadata from 127.0.0.1:54346 conn: { driver: { name: "nodejs", version: "2.2.33" }, os: { type: "Windows_NT", name: "win32", architecture: "x64", version: "10.0.16299" }, platform: "Node.js v8.9.3, LE, mongodb-core: 2.1.17" }
2018-01-09T17:00:02.613+0100 I NETWORK  [listener] connection accepted from 127.0.0.1:54347 #30 (2 connections now open)
2018-01-09T17:00:02.728+0100 I INDEX    [conn29] build index on: medical_reports.patients properties: { v: 2, unique: true, key: { code_rfid: 1 }, name: "code_rfid_1", ns: "medical_reports.patients", background: true }
